,,,Slide ID,b,d,e,c,a,f,g
,,,Antibody Name,b,d,e,c,a,f,g
,,,HUGO ID,b,d,e,c,a,f,g
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8437675307746676,0.5061436396636084,0.28790863117089815,0.43958057031970044,0.28045941403970376,0.2614552453421428,0.3974546708647678
C1,no,Insulin,0.33557046979865773,0.4753446188508973,0.29892250661185693,0.2981098537354147,0.34869057112180213,0.20769062515224307,0.22044894647267,0.19478211294619552
C1,no,Insulin,0.6711409395973155,0.27332822436203413,0.21792038014123594,0.28325162836433104,0.29262761212986643,0.16787109840636094,0.20214063089071901,0.10472443045620919
C1,no,Insulin,1.0067114093959733,0.16139088771424673,0.1851115874970932,0.2655294169858424,0.2569312143353736,0.14554470546819853,0.19282154638721782,0.06215726818795704
C1,no,Insulin,1.342281879194631,0.09878536787297178,0.17110625616100067,0.2517752557622749,0.23375211948318186,0.13284291987167926,0.18744800216549765,0.04076149083315119
C1,no,Insulin,1.6778523489932886,0.0634556521909566,0.1647721730094596,0.24260454112246524,0.21858153139313669,0.1255837220524538,0.18414005412119516,0.02937536186428236
C1,no,Insulin,2.0134228187919465,0.04333676909247503,0.16176771659368072,0.23692266181150667,0.20865550162156624,0.12145309524902623,0.18208700541656272,0.023006409210313047
C1,no,Insulin,2.348993288590604,0.031772466583692115,0.1603032485355887,0.23354579763002992,0.20219232250394964,0.11913124591251364,0.18084363798893371,0.019295246610162103
C1,no,Insulin,2.684563758389262,0.025061656228777034,0.1595870936267429,0.2315933774780041,0.198012735972975,0.11785188982386152,0.1801204749061737,0.01706359730022995
C1,no,Insulin,3.0201342281879198,0.021129963789992278,0.15924464844501898,0.23048881999655077,0.1953301593546466,0.11716721276874498,0.17972085104265978,0.015690612146583804
C1,no,Insulin,3.3557046979865772,0.01880483489600542,0.15908970241556816,0.2298765599807997,0.19362133529777417,0.11681612632786102,0.17951405105440696,0.014832553500565695
C1,no,Insulin,3.691275167785235,0.017417444573194812,0.15902723402170538,0.2295445945615741,0.19254071615642415,0.1166477779372944,0.17941678274539957,0.014290813692845069
C1,no,Insulin,4.026845637583893,0.016582651534720855,0.15900851445933847,0.2293693219152458,0.1918621243213268,0.11657626469083802,0.1793783521114501,0.013946653898841628
C1,no,Insulin,4.3624161073825505,0.016076501327044024,0.15900889397695747,0.22927994853314718,0.19143884488071297,0.11655363726241391,0.1793693098084752,0.013727255270776305
C1,no,Insulin,4.697986577181208,0.015767515901547877,0.15901630821719112,0.22923659819958928,0.19117653227651832,0.11655384354755934,0.17937338037979697,0.013587165429630352
C1,no,Insulin,5.033557046979866,0.015577752817847915,0.1590251888393412,0.22921719254611164,0.19101500206105773,0.11656323933885983,0.17938208535649566,0.013497675254292619
C1,no,Insulin,5.369127516778524,0.015460604406984248,0.15903323812612966,0.22920975488866455,0.19091615526888356,0.1165750623079225,0.17939135543542656,0.013440525189165341
C1,no,Insulin,5.704697986577181,0.015387964681317826,0.15903972909811423,0.22920794806097916,0.19085604503230694,0.11658625282565004,0.17939949097341396,0.013404054602176708
C1,no,Insulin,6.0402684563758395,0.015342755045610747,0.15904463221285448,0.2292085277918012,0.19081972055047658,0.11659566339821052,0.1794059869701153,0.01338080239737286
C1,no,Insulin,6.375838926174497,0.01531453438847038,0.15904818281098043,0.22920991211100814,0.1907979136089091,0.11660307570611077,0.17941088669747665,0.013365994456574224
C1,no,Insulin,6.7114093959731544,0.015296872338680304,0.1590506780781587,0.22921138269549968,0.19078490801599168,0.11660867352116837,0.17941444181668215,0.01335657358769006
C1,no,Insulin,7.046979865771813,0.015285801849028472,0.15905239295447304,0.2292126598854827,0.19077721041358925,0.1166127800302128,0.1794169499903475,0.01335058834416253
C1,no,Insulin,7.38255033557047,0.015278848981848392,0.15905355024080545,0.22921366591952166,0.1907726871446378,0.11661572663874033,0.17941868056523202,0.01334678892947825
C1,no,Insulin,7.718120805369128,0.01527447754416116,0.15905431993997912,0.22921441516674726,0.19077005109743597,0.11661780592053865,0.1794198538646386,0.013344379483638723
C1,no,Insulin,8.053691275167786,0.015271726378952341,0.15905482581696953,0.22921495268239794,0.19076852856627236,0.11661925397739216,0.17942063813624679,0.01334285262834464
C1,no,Insulin,8.389261744966444,0.015269996009822024,0.1590551546869273,0.22921532814005327,0.1907676602557316,0.11662025143157846,0.1794211558531417,0.013341886934574745
C1,no,Insulin,8.724832214765101,0.015268904589894631,0.15905536614317356,0.229215584131268,0.19076716870172164,0.11662093159192942,0.17942149343701433,0.0133412756012824
C1,no,Insulin,9.060402684563758,0.015268216471229452,0.1590555011105062,0.22921575599159869,0.19076689448522324,0.11662139203754669,0.17942171165612636,0.013340888994244278
C1,no,Insulin,9.395973154362416,0.015267783783905566,0.1590555865623194,0.22921586965903412,0.1907667447600057,0.11662170134321724,0.1794218513473882,0.013340645230746996
